no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,145.748,123.401,2.70243,2.02208,11.303,4.08709,1.61347
1,18ss,109.54,150.387,-0.612519,5.46984,21.9687,3.96331,1.25121
1,18ss,96.3579,152.858,-1.69826,2.51681,22.6708,4.44172,1.20159
1,18ss,101.686,153.348,-1.34728,2.59989,23.7469,4.5132,1.21707
1,18ss,110.555,161.724,-1.05833,1.7977,11.3058,4.08811,1.06393
1,18ss,96.6029,165.35,-1.92421,1.78929,11.3818,4.21202,1.08053
1,18ss,97.9915,160.202,-0.61049,1.94103,17.303,4.34607,1.23365
1,18ss,96.9608,145.828,-0.93334,2.1589,26.9891,4.33851,1.4299
1,18ss,108.472,156.559,-0.396121,2.16797,13.8261,4.33361,1.16762
1,18ss,102.516,147.536,-0.322229,2.50626,19.5696,4.39963,1.18281
1,18ss,113.986,159.587,-0.077327,1.81372,11.5147,3.93142,1.08571
1,18ss,117.684,151.254,1.04661,2.36701,13.9097,4.19909,1.27018
1,18ss,125.17,144.063,0.869278,2.05704,14.9328,4.97283,1.3903
1,18ss,118.226,22.849,4.72083,1.04076,6.12688,3.53344,0.708821
1,18ss,124.264,27.6662,4.07751,1.51789,5.43415,3.16907,1.62728
1,18ss,128.84,35.0453,4.98991,2.21874,5.56794,3.3946,1.70804
1,18ss,131.762,26.2004,6.09424,0.995351,6.35701,2.36835,0.923206
1,18ss,142.307,32.8554,6.01332,1.0317,5.68472,2.80782,0.895807
1,18ss,135.07,33.1601,6.39689,2.11485,5.80673,3.30185,1.93847
1,18ss,141.517,38.6812,5.30858,1.7925,5.37808,3.58825,2.21499
1,18ss,145.303,44.0414,7.8035,1.96207,5.53987,3.09203,2.78469
1,18ss,129.574,67.0602,3.69647,1.60634,6.39534,3.14132,2.11328
1,18ss,128.517,71.3738,4.8238,2.24401,6.94372,3.09895,2.46768
1,18ss,139.592,66.8985,5.441,2.73675,6.56577,2.86373,3.30807
1,18ss,134.071,48.1129,5.01524,2.10583,5.71793,2.49415,5.35099
1,18ss,140.535,49.3702,4.43158,1.68087,4.99291,2.86653,2.99327
1,18ss,139.528,60.2081,5.52203,2.26531,6.1236,2.4851,3.77493
1,18ss,138.804,53.7615,6.56509,2.34759,5.31298,2.80739,2.86135
1,18ss,147.844,49.7161,6.30267,1.95887,5.11258,3.23027,3.04768
1,18ss,145.432,61.2866,6.94928,1.79638,5.76064,2.62468,2.35702
1,18ss,164.314,63.6068,6.75014,1.90731,5.99267,2.91195,3.61045
1,18ss,146.373,68.493,6.49261,2.74969,6.44196,2.7009,2.33287
1,18ss,148.979,56.0564,7.34951,1.66314,5.085,3.35383,3.76124
1,18ss,152.174,67.3181,7.85042,3.20019,7.40415,3.0504,4.81277
1,18ss,157.469,50.0828,7.49144,2.46022,5.75758,4.79752,3.42842
1,18ss,163.126,55.2309,7.90493,1.92381,5.61743,2.32169,3.93421
1,18ss,154.245,60.5706,7.71018,2.72576,5.62605,2.46503,4.16474
1,18ss,160.428,64.2709,8.51193,2.18265,6.42885,3.00781,3.34816
1,18ss,100.611,100.46,-5.51499,2.94457,7.87454,2.97312,1.6127
1,18ss,114.243,100.99,-6.4739,2.72599,7.8228,3.49041,1.93347
1,18ss,114.372,107.206,-4.40082,2.75375,8.05769,2.99633,1.73016
1,18ss,108.488,112.581,-5.0617,2.05014,8.49718,3.12797,1.76493
1,18ss,103.269,107.112,-4.14752,2.48838,9.10623,3.48627,1.73817
1,18ss,104.89,98.9251,-2.43168,2.3983,8.48565,3.36001,1.5268
1,18ss,126.232,102.856,-8.48597,3.44701,7.49561,2.82209,2.82054
