no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,98.4075,142.228,230.893,5.50179,9.16172,3.41167
1,18ss,104.44,123.755,230.561,18.1181,10.9657,3.76757
1,18ss,106.168,144.785,230.383,7.6786,9.57017,3.3035
1,18ss,123.073,121.384,224.903,24.305,14.5561,4.42259
1,18ss,129.454,131.996,224.796,7.3446,12.4063,4.77194
1,18ss,124.782,126.599,225.438,12.2042,10.2902,4.26241
1,18ss,134.635,130.524,223.418,7.82326,18.0702,7.06763
1,18ss,127.127,140.727,223.515,8.78603,16.7144,4.6568
1,18ss,140.369,123.184,225.224,10.4813,30.5067,10.2099
1,18ss,128.715,130.274,228.668,6.54762,6.99735,3.83862
1,18ss,123.35,137.186,227.204,9.64201,16.4189,5.03925
1,18ss,139.481,145.024,227.162,5.50667,4.66667,4.98667
1,18ss,129.568,126.04,227.757,12.7157,9.53159,4.01765
1,18ss,124.241,132.556,228.72,6.9615,9.0873,4.12075
1,18ss,127.456,123.108,229.808,10.7035,7.87653,4.79085
1,18ss,125.147,128.68,229.567,8.08217,8.5666,3.5668
1,18ss,125.42,131.667,232.562,4.04432,5.90559,5.32852
1,18ss,133.353,137.603,232.323,4.8814,7.6814,3.54186
1,18ss,162.289,125.32,224.637,9.87542,4.14815,3.24242
1,18ss,147.306,137.109,226.228,9.16583,3.51256,3.48116
1,18ss,110.656,149.488,222.936,4.56044,14.6636,5.2649
1,18ss,113.674,167.246,223.87,8.24391,3.26154,3.27564
1,18ss,120.462,162.573,223.878,10.8561,3.76682,3.31028
1,18ss,102.922,147.724,225.222,12.3461,13.0968,3.86103
1,18ss,114.393,163.012,225.604,4.7289,3.95134,3.28103
1,18ss,101.799,165.126,225.544,4.74562,3.8964,3.02724
1,18ss,120.303,146.837,226.103,6.79484,8.88151,3.59106
1,18ss,110.486,146.336,227.956,3.7591,11.4807,3.56499
1,18ss,111.902,164.076,226.36,3.51765,3.65588,2.56618
1,18ss,98.7072,146.215,226.489,6.44416,14.0739,4.66346
1,18ss,106.242,150.249,227.251,4.0005,14.6855,3.64623
1,18ss,114.524,149.135,228.414,3.01173,13.2846,5.42644
1,18ss,98.9348,157.26,231.528,2.7766,5.5,3.2695
