,X,Y,Z
32241,87.2162,-32.6437,36.7328
32302,95.2299,-44.3852,35.9518
32306,34.2277,-8.59642,46.9969
32309,56.7428,-9.96477,44.1411
32367,51.715,-17.2161,43.6101
32421,79.3356,-21.0829,39.5772
32479,67.3635,-29.8599,41.6665
32519,68.5625,-40.8101,40.7425
32539,84.8998,-42.8795,38.7402
32600,184.788,-44.8582,19.5255
32647,192.547,-41.5057,20.5015
32696,191.458,-47.9916,21.8305
32732,198.162,-48.3419,21.1753
32765,206.521,-39.6371,21.167
32805,204.386,-47.0147,21.5921
32839,205.148,-52.8517,22.1903
32867,85.0436,30.5323,42.9205
32882,93.6917,31.8246,40.9996
32941,102.452,33.2927,40.3555
32987,78.1942,38.8667,45.6023
33034,92.6142,38.5825,44.0502
33089,81.8556,22.2949,44.7321
33148,72.7878,17.8029,45.7572
33202,70.6239,11.2925,46.0143
33258,66.5344,22.3216,49.4599
33314,101.479,37.559,44.7166
33373,94.394,26.6463,45.9144
33432,68.5796,28.1482,50.7988
33489,92.1377,39.3725,50.1844
33550,84.9964,29.4423,50.1321
33609,74.7498,21.3699,52.2868
33670,96.2307,26.5123,52.543
33731,100.145,32.3098,54.2753
33778,88.9955,26.0566,56.0567
33831,55.0312,20.3536,47.072
33874,62.1944,13.3415,45.1549
33932,47.0368,5.2868,51.3733
33989,55.4899,2.9201200000000003,50.5269
34000,65.2809,13.5487,54.6054
34056,207.312,-29.8052,24.4824
34104,192.346,-2.94238,28.5587
34165,196.976,-6.11373,28.1124
34223,210.267,-22.921,26.379
34270,195.4,2.12225,30.9034
34288,201.236,-18.9128,29.2379
34335,217.291,-22.6627,27.4962
34369,189.22,7.39331,33.3548
34429,208.638,-7.4017,30.4125
34476,207.021,-14.9024,30.2074
34524,219.932,-13.9349,29.1073
34570,213.836,-17.8034,28.6739
34618,224.837,-16.059,27.5961
34663,187.281,13.6984,36.2063
34723,203.97,7.509419999999999,33.7933
34772,200.702,0.365661,34.0063
34820,207.696,3.20733,32.8939
34869,196.868,6.76147,35.3466
34918,206.617,-4.8368699999999984,34.6728
34965,214.185,-1.6730200000000002,33.4403
35012,217.112,-6.47147,33.2133
35057,230.7,-11.3351,30.4449
35102,234.633,-15.4308,31.1232
35129,193.30900000000003,11.821,38.2306
35175,220.914,-1.99206,34.8309
35220,184.308,16.8464,41.5152
35280,200.21400000000003,10.7985,39.6697
35329,204.838,-11.9891,37.9881
35375,230.706,-8.04159,34.8834
35403,213.067,6.18042,40.6711
35452,219.372,2.38528,39.7181
35499,210.005,-17.3795,39.2707
35548,217.959,-20.2447,38.9591
35576,238.697,-14.3693,36.008
35604,193.969,11.0169,45.8748
35665,196.201,2.02253,44.9762
35713,203.975,-0.443045,43.1065
35762,197.974,-9.67279,43.3116
35810,215.924,-15.0359,40.5447
35838,233.603,-9.18888,38.1521
35866,227.009,-15.6995,38.9438
35897,210.575,-29.4562,40.734
35941,188.941,12.0877,47.931
36002,200.313,11.8642,45.4483
36056,224.084,0.245488,42.0665
36104,217.932,-9.15489,43.882
36152,223.121,-11.3911,41.9911
36180,209.126,8.6181,47.3566
36228,214.318,4.15975,45.2088
36274,205.479,-7.70448,47.2217
36321,230.871,-5.00946,42.4462
36342,240.467,-11.038,42.6949
36370,195.281,10.0585,49.8399
36418,201.7,8.50197,50.2176
36465,209.094,-3.00138,48.1991
36514,220.199,2.13978,47.6523
36528,226.333,-2.53697,46.6043
36573,228.69,-18.924,45.3627
36601,209.448,-12.1674,50.0888
36650,210.576,-19.6773,49.8748
36698,236.889,-6.8724,45.6793
36746,221.746,-17.301,48.4417
36774,212.433,-28.2976,49.7591
36820,196.754,2.90442,54.5843
36869,204.492,3.84815,53.6331
36918,212.896,4.02457,51.7566
36966,230.855,-4.24843,49.257
37014,200.721,-2.78886,55.6688
37063,205.323,-7.52326,55.1099
37112,221.136,-2.29,52.4648
37159,204.831,-17.5596,54.2463
37207,216.833,-13.802,52.2137
37233,241.758,-9.69236,50.2312
37261,101.988,24.0987,40.114
37318,90.2816,14.4715,42.2284
37379,79.8913,9.66658,42.9586
37440,125.564,32.8957,36.8821
37499,97.8533,12.4664,39.4623
37557,115.307,19.4135,38.5717
37618,79.5718,-2.69256,42.9027
37679,147.179,31.4783,34.0109
37738,111.051,7.43913,38.4158
37796,83.3394,-8.48823,41.8418
37856,137.009,15.6149,34.9765
37917,88.3271,-13.1905,41.81800000000001
37975,98.6329,-8.3919,39.4058
38034,142.696,13.6245,34.983000000000004
38095,148.66899999999995,12.4325,33.594
38155,92.9786,-17.521,40.0091
38213,127.44,-10.1147,35.9494
38272,156.425,3.99893,31.8369
38331,96.5452,-31.7918,39.1319
38371,174.334,7.084039999999999,29.6448
38432,182.613,9.3238,29.1059
38493,126.894,-22.2896,35.2267
38554,111.139,-33.616,37.0449
38615,143.172,-21.97,33.4474
38676,153.924,-17.3615,31.0164
38737,135.45600000000002,-28.3238,34.532
